,ZONA, SUBURBAN , VAN , SPRINTER ,, SUBURBAN , VAN , SPRINTER 
,, ONE WAY , ONE WAY , ONE WAY ,, ROUNDTRIP , ROUNDTRIP , ROUNDTRIP 
 - Diamante,Dimante Cabo San Lucas, $130.00 , $135.00 , $190.00 ,, $260.00 , $270.00 , $380.00 
 - Diamante,Grand Solmar at Rancho San Lucas, $130.00 , $135.00 , $190.00 ,, $260.00 , $270.00 , $380.00 
 - Diamante,Hard Rock Hotel Los Cabos, $130.00 , $135.00 , $190.00 ,, $260.00 , $270.00 , $380.00 
 - Diamante,Nobu Los Cabos, $130.00 , $135.00 , $190.00 ,, $260.00 , $270.00 , $380.00 
 - Todos Santos,Cerritos Beach Hotel, $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
 - Todos Santos,Cerritos Beach Inn, $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
 - Todos Santos,Cerritos Surf Town, $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
 - Todos Santos,Hotel Guaycura, $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
 - Todos Santos,Paradero , $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
 - Todos Santos,Kimpton Mas Olas Resort and Spa, $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
 - Todos Santos,Hotel San Cristobal, $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
 - Todos Santos,Serendipity Todos Santos, $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
 - Todos Santos,Todos Santos Inn, $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
 - Todos Santos,Villa Santa Cruz, $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
 - Cabo del Este,Four Seasons at Costa Palmas, $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
 - Cabo del Este,Hotel Palmas de Cortez, $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
 - Cabo del Este,Hotel Playa del Sol, $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
 - Cabo del Este,La Ventana Villa/Hotel , $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
 - Cabo del Este,Los Barriles Hotel, $230.00 , $262.00 , $355.00 ,, $460.00 , $520.00 , $710.00 
